DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Status,Status Desc,Crm Cd 1,LOCATION,LAT,LON
211516439,10/23/2021 12:00:00 AM,10/23/2021 12:00:00 AM,120,15,N Hollywood,1555,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0443 1309 0302 1822,22,F,B,102.0,SIDEWALK,IC,Invest Cont,230.0,4900    LANKERSHIM                   BL,34.16,-118.3717
240706672,03/04/2024 12:00:00 AM,02/28/2024 12:00:00 AM,1300,7,Wilshire,724,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,0,X,X,402.0,MARKET,IC,Invest Cont,341.0,6300 W  3RD                          ST,34.0735,-118.3571
231404619,01/17/2023 12:00:00 AM,01/17/2023 12:00:00 AM,300,14,Pacific,1406,1,210,ROBBERY,0416 0344 1822 1218 0445,34,M,A,102.0,SIDEWALK,IC,Invest Cont,210.0,10500    ROSE                         AV,34.0287,-118.4118
220609735,05/03/2022 12:00:00 AM,04/22/2022 12:00:00 AM,200,6,Hollywood,646,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0910,25,F,O,735.0,NIGHT CLUB (OPEN EVENINGS ONLY),IC,Invest Cont,440.0,1600 N  LAS PALMAS                   AV,34.0997,-118.3361
200510193,06/03/2020 12:00:00 AM,05/28/2020 12:00:00 AM,820,5,Harbor,531,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2055 1309 0432 1202 1516 0421 0903,62,F,H,301.0,GAS STATION,JA,Juv Arrest,930.0,25800    WESTERN                      AV,33.7895,-118.3076
230406519,03/19/2023 12:00:00 AM,03/18/2023 12:00:00 AM,2300,4,Hollenbeck,456,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1813 1241 0400 0416,40,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,626.0,2700    WINTER                       ST,34.0491,-118.2016
201608361,04/23/2020 12:00:00 AM,04/23/2020 12:00:00 AM,215,16,Foothill,1617,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0400 1814 0416 0408 1309,26,F,B,501.0,SINGLE FAMILY DWELLING,AA,Adult Arrest,626.0,9000    RIDERWOOD                    DR,34.2643,-118.33
201208403,03/03/2020 12:00:00 AM,03/02/2020 12:00:00 AM,1030,12,77th Street,1283,1,520,VEHICLE - ATTEMPT STOLEN,1202,62,M,B,104.0,DRIVEWAY,IC,Invest Cont,520.0,9400 S  HARVARD                      BL,33.9511,-118.3068
230210454,05/11/2023 12:00:00 AM,05/11/2023 12:00:00 AM,840,2,Rampart,218,2,624,BATTERY - SIMPLE ASSAULT,1309 0603 0913 0447 0416,53,M,O,101.0,STREET,AO,Adult Other,624.0,800    LAVETA                       TR,34.0713,-118.2575
240216248,10/21/2024 12:00:00 AM,09/23/2024 12:00:00 AM,2330,2,Rampart,211,1,330,BURGLARY FROM VEHICLE,1822 1300 1302 0344,32,M,H,103.0,ALLEY,IC,Invest Cont,330.0,500 N  KENMORE                      AV,34.079,-118.2966
220901199,12/15/2022 12:00:00 AM,12/14/2022 12:00:00 AM,1626,9,Van Nuys,964,1,210,ROBBERY,0344 0352 1420 0432 1822 0945,35,M,H,404.0,DEPARTMENT STORE,IC,Invest Cont,210.0,14000    RIVERSIDE                    DR,34.1576,-118.4387
221208260,03/18/2022 12:00:00 AM,03/16/2022 12:00:00 AM,1545,12,77th Street,1265,1,520,VEHICLE - ATTEMPT STOLEN,1300 1822 0329,59,M,B,101.0,STREET,IC,Invest Cont,520.0,8400 S  NORMANDIE                    AV,33.9625,-118.3003
221515889,10/07/2022 12:00:00 AM,10/07/2022 12:00:00 AM,800,15,N Hollywood,1535,2,354,THEFT OF IDENTITY,0377,38,M,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,354.0,11400    EMELITA                      ST,34.1767,-118.379
211206128,02/02/2021 12:00:00 AM,02/02/2021 12:00:00 AM,645,12,77th Street,1218,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0216 0448 1309 0411 0913,34,M,H,102.0,SIDEWALK,AA,Adult Arrest,230.0,53RD                         ST,33.9942,-118.2827
201713292,09/15/2020 12:00:00 AM,09/14/2020 12:00:00 AM,2145,17,Devonshire,1799,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0913 0408 0416 1243 1814 0344 0444 0429 0417,37,F,H,501.0,SINGLE FAMILY DWELLING,AA,Adult Arrest,236.0,8600    WOODLEY                      AV,34.2266,-118.4852
201912463,07/23/2020 12:00:00 AM,07/23/2020 12:00:00 AM,1245,19,Mission,1985,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2004 1402 0378,0,M,B,404.0,DEPARTMENT STORE,IC,Invest Cont,442.0,8300    VAN NUYS                     BL,0.0,0.0
231911544,07/12/2023 12:00:00 AM,07/04/2023 12:00:00 AM,2200,19,Mission,1961,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0408 1814 0913,37,F,B,505.0,MOTEL,AO,Adult Other,236.0,9400 N  SEPULVEDA                    BL,34.2446,-118.4676
200114662,07/10/2020 12:00:00 AM,07/10/2020 12:00:00 AM,2055,1,Central,182,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1414 2000 1813 0444,30,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,626.0,1200 S  HOPE                         ST,34.0406,-118.2646
241708463,04/16/2024 12:00:00 AM,04/16/2024 12:00:00 AM,1000,17,Devonshire,1767,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2021 1822 0416 1202,74,M,H,237.0,HOSPICE,AO,Adult Other,626.0,9300    RESEDA                       BL,34.2391,-118.5361
200909091,04/29/2020 12:00:00 AM,04/28/2020 12:00:00 AM,1000,9,Van Nuys,989,2,625,OTHER ASSAULT,0356,58,M,H,101.0,STREET,IC,Invest Cont,625.0,ALLOTT                       AV,34.1504,-118.4279
202014472,02/10/2020 12:00:00 AM,02/10/2020 12:00:00 AM,800,20,Olympic,2079,2,624,BATTERY - SIMPLE ASSAULT,0913 0445,55,M,W,510.0,NURSING/CONVALESCENT/RETIREMENT HOME,AA,Adult Arrest,624.0,2200 W  15TH                         ST,34.0453,-118.287
230313395,07/07/2023 12:00:00 AM,07/07/2023 12:00:00 AM,1640,3,Southwest,341,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,18,M,W,101.0,STREET,IC,Invest Cont,440.0,OBAMA                        BL,34.0216,-118.3659
211604663,01/23/2021 12:00:00 AM,01/23/2021 12:00:00 AM,100,16,Foothill,1687,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1202,72,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,745.0,11000    LORNE                        ST,34.2175,-118.3703
212109125,05/20/2021 12:00:00 AM,05/20/2021 12:00:00 AM,910,21,Topanga,2139,1,220,ATTEMPTED ROBBERY,0355 1822 1420 2004,43,F,H,203.0,OTHER BUSINESS,AO,Adult Other,220.0,20200    SHERMAN                      WY,34.2011,-118.5742
222016613,11/02/2022 12:00:00 AM,11/02/2022 12:00:00 AM,700,20,Olympic,2055,1,310,BURGLARY,1822 0344 0358,65,F,A,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,310.0,900 S  MARIPOSA                     AV,34.0515,-118.2989
242005062,01/23/2024 12:00:00 AM,11/15/2023 12:00:00 AM,900,20,Olympic,2055,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0432 0913 1202 1906 0531,65,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,956.0,3100    SAN MARINO                   ST,34.0545,-118.2975
200907756,03/23/2020 12:00:00 AM,03/15/2020 12:00:00 AM,1930,9,Van Nuys,981,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,36,M,W,716.0,THEATRE/MOVIE,IC,Invest Cont,341.0,15000    VENTURA                      BL,34.1527,-118.4596
230505275,02/04/2023 12:00:00 AM,02/02/2023 12:00:00 AM,1130,5,Harbor,521,2,662,"BUNCO, GRAND THEFT",0701,53,F,W,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,662.0,1800    AMELIA                       AV,33.7612,-118.3016
210615299,09/02/2021 12:00:00 AM,09/02/2021 12:00:00 AM,400,6,Hollywood,644,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0913,43,M,H,707.0,GARAGE/CARPORT,AO,Adult Other,624.0,1300 N  FULLER                       AV,34.0944,-118.3495
230811215,06/23/2023 12:00:00 AM,06/05/2023 12:00:00 AM,2045,8,West LA,889,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0344 0325,0,X,X,404.0,DEPARTMENT STORE,IC,Invest Cont,442.0,1800    LA CIENEGA                   BL,34.0425,-118.3818
232009917,04/08/2023 12:00:00 AM,04/07/2023 12:00:00 AM,1900,20,Olympic,2031,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,28,M,H,210.0,RESTAURANT/FAST FOOD,IC,Invest Cont,440.0,WILSHIRE                     BL,34.0617,-118.3091
230614707,09/04/2023 12:00:00 AM,09/04/2023 12:00:00 AM,1030,6,Hollywood,639,2,850,INDECENT EXPOSURE,0529 1822 2004 0528 0500 2001,70,F,W,102.0,SIDEWALK,IC,Invest Cont,850.0,1300 N  HOLLYWOOD                    BL,34.1036,-118.3049
201304679,01/13/2020 12:00:00 AM,01/13/2020 12:00:00 AM,630,13,Newton,1353,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0325,0,X,X,301.0,GAS STATION,IC,Invest Cont,440.0,4300    AVALON                       BL,34.0057,-118.2652
200618590,11/27/2020 12:00:00 AM,11/27/2020 12:00:00 AM,1830,6,Hollywood,636,1,330,BURGLARY FROM VEHICLE,1300 1609 0344 1822,42,M,W,101.0,STREET,IC,Invest Cont,330.0,LAS PALMAS,34.1034,-118.3325
201508669,04/12/2020 12:00:00 AM,04/12/2020 12:00:00 AM,1230,15,N Hollywood,1535,1,330,BURGLARY FROM VEHICLE,1300 0344,0,M,O,101.0,STREET,IC,Invest Cont,330.0,CAMELLIA                     AV,34.174,-118.3822
200206964,02/27/2020 12:00:00 AM,02/26/2020 12:00:00 AM,1600,2,Rampart,236,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385 1602,50,M,H,101.0,STREET,IC,Invest Cont,331.0,100 N  BURLINGTON                   AV,34.0652,-118.267
201709440,05/25/2020 12:00:00 AM,05/25/2020 12:00:00 AM,1500,17,Devonshire,1749,2,354,THEFT OF IDENTITY,0100 1202 1822,64,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354.0,16200    DEVONSHIRE                   ST,34.261,-118.4807
201012402,08/21/2020 12:00:00 AM,08/17/2020 12:00:00 AM,1000,10,West Valley,1065,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 2004 0344 0202,0,M,W,121.0,YARD (RESIDENTIAL/BUSINESS),IC,Invest Cont,440.0,17900 W  VENTURA                      BL,34.1675,-118.5226
231510081,05/22/2023 12:00:00 AM,05/21/2023 12:00:00 AM,1600,15,N Hollywood,1515,2,624,BATTERY - SIMPLE ASSAULT,1822 0446 0429 0319 0416 0419,15,F,B,102.0,SIDEWALK,IC,Invest Cont,624.0,LAUREL CANYON                BL,34.1976,-118.3965
221518424,12/11/2022 12:00:00 AM,12/11/2022 12:00:00 AM,449,15,N Hollywood,1541,1,310,BURGLARY,0321 0344 1300 1822,58,F,W,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,310.0,5100    GOODLAND                     AV,34.1631,-118.4116
201705417,02/03/2020 12:00:00 AM,02/03/2020 12:00:00 AM,1845,17,Devonshire,1787,2,624,BATTERY - SIMPLE ASSAULT,0913 1820 0444,18,F,B,104.0,DRIVEWAY,AO,Adult Other,624.0,9500    ZELZAH                       AV,34.2432,-118.5232
221710134,06/17/2022 12:00:00 AM,06/17/2022 12:00:00 AM,1250,17,Devonshire,1764,1,210,ROBBERY,0945 0325 0378 0443 1501 1822 1300 0202,0,X,X,412.0,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)",IC,Invest Cont,210.0,19300    NORDHOFF                     WY,34.2347,-118.5568
231707691,04/03/2023 12:00:00 AM,02/10/2023 12:00:00 AM,1116,17,Devonshire,1794,2,354,THEFT OF IDENTITY,0935 1202 1822,63,F,W,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,354.0,18600    NAPA                         ST,34.2264,-118.5383
220804029,12/31/2021 12:00:00 AM,12/31/2021 12:00:00 AM,1500,8,West LA,842,2,624,BATTERY - SIMPLE ASSAULT,0416 0444,46,M,W,102.0,SIDEWALK,IC,Invest Cont,624.0,1400    BUTLER                       AV,34.0484,-118.4544
220304776,01/18/2022 12:00:00 AM,01/18/2022 12:00:00 AM,1900,3,Southwest,377,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1259 0319 0443 0432 0444 1822,15,M,H,501.0,SINGLE FAMILY DWELLING,AO,Adult Other,627.0,1200 W  38TH                         ST,34.0173,-118.2973
200110608,04/16/2020 12:00:00 AM,04/01/2020 12:00:00 AM,800,1,Central,124,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1822 1906,0,X,X,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",IC,Invest Cont,956.0,200 N  MAIN                         ST,34.0532,-118.2425
231814160,07/29/2023 12:00:00 AM,07/29/2023 12:00:00 AM,1830,18,Southeast,1822,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 1810 0334 0445,48,M,B,104.0,DRIVEWAY,AO,Adult Other,230.0,9300 S  FIGUEROA                     ST,33.9519,-118.2827
220718188,12/24/2022 12:00:00 AM,12/24/2022 12:00:00 AM,205,7,Wilshire,701,2,890,FAILURE TO YIELD,1300 1212 1309,21,X,X,101.0,STREET,IC,Invest Cont,890.0,WILLOUGHBY,34.087,-118.3764
201206765,02/08/2020 12:00:00 AM,02/08/2020 12:00:00 AM,2255,12,77th Street,1207,1,210,ROBBERY,0344 0342 0432 0302 1252,39,M,H,102.0,SIDEWALK,IC,Invest Cont,210.0,45TH                         ST,33.9995,-118.2893
231112923,09/01/2023 12:00:00 AM,08/21/2023 12:00:00 AM,2000,11,Northeast,1142,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,73,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,420.0,1900    RODNEY                       DR,34.1054,-118.2889
240304156,01/03/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1120,3,Southwest,331,2,354,THEFT OF IDENTITY,0100 1202 0930 0935 1822,78,F,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,354.0,2600    VINEYARD                     AV,34.0283,-118.3492
230616927,10/24/2023 12:00:00 AM,10/17/2023 12:00:00 AM,1600,6,Hollywood,663,1,310,BURGLARY,1822 0344 1607 0321,39,M,B,221.0,PUBLIC STORAGE,IC,Invest Cont,310.0,6800    SANTA MONICA                 BL,34.0907,-118.3386
232105756,02/16/2023 12:00:00 AM,02/01/2023 12:00:00 AM,1511,21,Topanga,2156,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2028 0325,0,M,W,404.0,DEPARTMENT STORE,AA,Adult Arrest,442.0,6700    TOPANGA CANYON               BL,34.1923,-118.6059
231410215,05/10/2023 12:00:00 AM,05/09/2023 12:00:00 AM,2300,14,Pacific,1484,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,30,M,O,109.0,PARK/PLAYGROUND,IC,Invest Cont,341.0,7000 W  MANCHESTER                   AV,33.9597,-118.4136
221219594,09/02/2022 12:00:00 AM,09/02/2022 12:00:00 AM,40,12,77th Street,1233,2,354,THEFT OF IDENTITY,0922,35,F,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,354.0,5800 S  WILTON                       PL,33.9891,-118.3148
231300674,03/30/2023 12:00:00 AM,03/29/2023 12:00:00 AM,1600,13,Newton,1381,2,624,BATTERY - SIMPLE ASSAULT,0416 0913 1402,47,F,B,101.0,STREET,IC,Invest Cont,624.0,61ST                         ST,33.9842,-118.2783
231320455,11/05/2023 12:00:00 AM,11/03/2023 12:00:00 AM,1245,13,Newton,1307,1,330,BURGLARY FROM VEHICLE,1302 1609 1307 0344 0352,35,M,O,108.0,PARKING LOT,IC,Invest Cont,330.0,700    CERES                        AV,34.0382,-118.2432
220114527,06/18/2022 12:00:00 AM,06/18/2022 12:00:00 AM,130,1,Central,182,2,624,BATTERY - SIMPLE ASSAULT,0448,61,M,W,301.0,GAS STATION,IC,Invest Cont,624.0,GRAND,34.043,-118.2606
232118158,12/27/2023 12:00:00 AM,12/27/2023 12:00:00 AM,2300,21,Topanga,2148,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400,58,M,H,501.0,SINGLE FAMILY DWELLING,AO,Adult Other,626.0,20100    SHERMAN                      WY,34.201,-118.571
230806648,03/02/2023 12:00:00 AM,02/26/2023 12:00:00 AM,800,8,West LA,836,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822 1202 0385,68,F,W,101.0,STREET,IC,Invest Cont,331.0,2100    BALSAM                       AV,34.0504,-118.4252
200815271,10/12/2020 12:00:00 AM,10/08/2020 12:00:00 AM,1300,8,West LA,827,2,354,THEFT OF IDENTITY,0930 1822,73,F,W,602.0,BANK,IC,Invest Cont,354.0,100 S  BARRINGTON                   AV,34.0649,-118.4698
231320469,11/12/2023 12:00:00 AM,11/12/2023 12:00:00 AM,415,13,Newton,1313,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1822,27,M,B,122.0,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740.0,1100 E  18TH                         ST,34.0262,-118.2518
231420579,11/14/2023 12:00:00 AM,11/08/2023 12:00:00 AM,1655,14,Pacific,1454,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300,60,M,A,707.0,GARAGE/CARPORT,IC,Invest Cont,331.0,13400    MAXELLA                      AV,33.9867,-118.4413
200811091,06/25/2020 12:00:00 AM,06/24/2020 12:00:00 AM,2345,8,West LA,889,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1307 0416,30,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,745.0,1900 S  ROBERTSON                    BL,34.0446,-118.3867
221014090,09/16/2022 12:00:00 AM,04/09/2022 12:00:00 AM,1500,10,West Valley,1083,2,354,THEFT OF IDENTITY,1822 0923,74,F,W,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,354.0,18600    CABALLERO                    CT,34.1554,-118.5357
201216345,07/11/2020 12:00:00 AM,07/11/2020 12:00:00 AM,2300,12,77th Street,1269,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 2000 1814 0319 0416 0446 2033 1259,14,F,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,236.0,400 E  82ND                         ST,33.9646,-118.2673
230704043,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,245,7,Wilshire,734,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,35,F,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,930.0,400    HAUSER                       BL,34.0674,-118.3499
201914638,09/17/2020 12:00:00 AM,09/16/2020 12:00:00 AM,2130,19,Mission,1908,1,330,BURGLARY FROM VEHICLE,0344,59,M,W,101.0,STREET,IC,Invest Cont,330.0,12900    HAGAR                        ST,34.3038,-118.4146
201800601,03/09/2020 12:00:00 AM,03/09/2020 12:00:00 AM,2000,18,Southeast,1801,1,761,BRANDISH WEAPON,1822 0334 1212 1402,0,X,X,102.0,SIDEWALK,AA,Adult Arrest,761.0,700 W  91ST                         ST,33.9542,-118.2869
241515268,11/12/2024 12:00:00 AM,10/25/2024 12:00:00 AM,2140,15,N Hollywood,1585,2,354,THEFT OF IDENTITY,0377 1822,35,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354.0,4200    TUJUNGA                      AV,34.145,-118.379
221805707,02/07/2022 12:00:00 AM,02/05/2022 12:00:00 AM,1,18,Southeast,1822,2,354,THEFT OF IDENTITY,0100 1822 0344,20,F,B,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,354.0,100 W  101ST                        ST,33.9447,-118.2739
